geocell_id,country,num_points,centroid_lat,centroid_lon
1453,Russia,60,61.84447300048832,119.02749347160714
1454,Russia,109,63.30482812821849,42.63080662008064
1455,Russia,135,58.98442583403913,92.5426527048233
1456,Russia,48,54.854486929341306,53.67095921641186
1457,Russia,54,58.05519100490306,58.76953876982503
1458,Russia,134,61.56865297892538,71.41080062358294
1459,Russia,31,52.65985029986518,40.39281135597911
1460,Russia,82,58.21759305860935,82.43311858270256
1461,Russia,52,53.74234248028813,45.63496236532115
1462,Russia,60,44.0645513888383,44.92787295912601
1463,Russia,38,54.762294638935145,86.88462526252799
1464,Russia,150,55.58061511211493,103.51640465758156
1465,Russia,40,53.59218396502966,90.05017943602529
1466,Russia,65,57.7430796541197,41.74247026412
1467,Russia,56,55.756149361436734,38.80325282663994
1468,Russia,39,54.157172970592114,39.12819116590835
1469,Russia,39,56.17700610393421,44.20881475401551
1470,Russia,52,57.25014283733212,48.1691622827516
1471,Russia,53,59.95789468262622,40.40290018355621
1472,Russia,35,58.247448644579045,32.4155260006445
1473,Russia,76,68.11641881344785,34.00581595672837
1474,Russia,46,57.11659195439076,35.03441270987909
1475,Russia,95,63.45275670447919,32.98895265023215
1476,Russia,65,59.91364958566,31.290553462855723
1477,Russia,24,54.79634756560336,21.263758487586497
1478,Russia,45,54.71931446551684,34.373013001136975
1479,Rwanda,126,-1.9325586063202032,30.46139871027514
1480,Rwanda,109,-1.431393972477064,30.31520660550459
1481,Rwanda,126,-1.8660689720497967,30.10318017792613
1482,Rwanda,134,-2.324377533079696,29.71861354277697
1483,Rwanda,70,-2.4442067046217724,29.02545911763955
1484,Rwanda,64,-2.05822825,29.413422484375
1485,Rwanda,34,-1.7295518342118847,29.306436401214317
1486,Rwanda,36,-1.6953121388888888,29.527594944444445
1487,Rwanda,46,-1.5955784573536642,29.90190807069855
1488,Rwanda,124,-1.9924913467741936,30.062210701612905
1489,Rwanda,139,-1.945385776978417,30.19900264028777
1490,S. Geo. and the Is.,2,-44.200853237944834,-38.35196330797619
1491,S. Sudan,19,7.2129210858108594,29.98653320469812
1492,Saint Helena,30,-14.756174341513486,-7.961766392936332
1493,San Marino,132,43.968568090909095,12.471773340909092
1494,San Marino,91,43.943652648351645,12.456102406593407
1495,San Marino,72,43.95400231944444,12.478790541666667
1496,San Marino,66,43.924270484848485,12.47254346969697
1497,San Marino,54,43.90987448148148,12.454986777777778
1498,San Marino,39,43.90459602564103,12.41743864102564
1499,San Marino,62,43.91933491935484,12.427259451612905
1500,San Marino,50,43.9456044,12.41158006
1501,San Marino,89,43.92406570786517,12.449951898876405
1502,San Marino,81,43.94320456790123,12.436331580246913
1503,Saudi Arabia,2,24.91875986252528,46.49938585442271
1504,Senegal,34,12.875410391814007,-12.098317280304222
1505,Senegal,80,13.935821507287828,-13.241281029778175
1506,Senegal,50,14.462884488011785,-16.90056613468624
1507,Senegal,123,14.875132669087431,-16.822360206357434
1508,Senegal,39,14.746131910385456,-17.466170128903343
1509,Senegal,123,14.78545697099932,-16.183736054384777
1510,Senegal,83,13.07501922251181,-14.450596359732485
1511,Senegal,58,12.802823061285402,-15.637761906539463
1512,Senegal,70,12.740596123730262,-16.488798550993774
1513,Senegal,90,16.290574161691968,-15.324121277588764
1514,Senegal,67,15.371700417910446,-13.40059410447761
1515,Senegal,62,14.03330799967742,-15.70093490073248
1516,Senegal,63,14.291367660508405,-16.301876918620042
1517,Senegal,105,15.422652059089003,-15.969045638341704
1518,Serbia,53,45.77098491050815,19.4324408572523
1519,Serbia,31,45.85685323957231,20.248072698008485
1520,Serbia,48,44.99277279166666,19.848432729166667
1521,Serbia,41,44.6745732715678,19.543341056591164
1522,Serbia,62,45.43107037096775,19.76652567741936
1523,Serbia,36,45.50710994444445,20.41912961111111
1524,Serbia,54,44.94157724544212,21.02462337186446
1525,Serbia,47,44.61874291386862,21.21647338033382
1526,Serbia,76,44.59503564518065,20.411035525735493
1527,Serbia,45,44.28801482428212,20.907534537161663
1528,Serbia,49,43.37005960063056,21.862708113196607
1529,Serbia,37,43.916499540540535,21.37148335135135
1530,Serbia,43,42.54953762480788,22.061055815436045
1531,Serbia,68,44.02667804411765,20.23208082352941
1532,Serbia,46,44.06278323913043,22.11700797826087
1533,Serbia,44,43.69977284090909,22.111337181818183
1534,Serbia,32,43.14835689740919,22.458271132509893
1535,Serbia,34,42.95395546875308,21.960834465749524
1536,Serbia,54,43.62314423511146,20.572651572053992
1537,Serbia,59,43.3169132397453,21.306992870483448
1538,Serbia,85,43.63040656335083,19.75124385876866
1539,Seychelles,4,-5.34500985213484,51.41733593818103
1540,Sierra Leone,4,7.135947257970827,-14.084870923683752
1541,Singapore,207,1.3269039903381643,103.7167574879227
1542,Singapore,70,1.2942571857142855,103.79784957142856
1543,Singapore,86,1.383773965116279,103.70676229069768
1544,Singapore,139,1.3030710143884892,103.84684351079136
1545,Singapore,102,1.3794073333333332,103.86413465686272
1546,Singapore,101,1.3370675544554456,103.90570725742576
1547,Singapore,85,1.3433130352941176,103.96893674117648
1548,Singapore,54,1.3849367592592594,103.93241414814814
1549,Singapore,137,1.4147634379562044,103.8067174890511
1550,Slovakia,105,49.18457753269405,19.112319054718032
1551,Slovakia,79,49.14770590618759,20.6096127360886
1552,Slovakia,97,49.07005448453609,21.69213792783505
1553,Slovakia,143,48.69140129830735,21.266954906417705
1554,Slovakia,44,48.29609029545455,17.184924272727272
1555,Slovakia,102,48.34720315686275,17.536482352941174
1556,Slovakia,97,48.8571529958649,18.19219790359663
1557,Slovakia,87,48.49757251255226,19.894037271791067
1558,Slovakia,98,48.48555554001677,19.099986002519323
1559,Slovakia,139,48.15548757218151,18.31486655798929
1560,Slovenia,39,45.570267531032925,13.887709204216698
1561,Slovenia,54,46.62809638888889,16.06243725925926
1562,Slovenia,48,46.25356245585298,14.8585229643776
1563,Slovenia,35,45.97622482857143,15.546718114285714
1564,Slovenia,46,46.07757615909734,15.337947673531376
1565,Slovenia,39,45.85580635897436,15.123009897435896
1566,Slovenia,35,45.65836,15.111051171428572
1567,Slovenia,59,45.68154251721344,14.759815880336204
1568,Slovenia,40,45.63636045,14.33694565
1569,Slovenia,60,46.15373135,14.727681616666668
1570,Slovenia,31,46.20116283870968,14.159091032258065
1571,Slovenia,35,46.00631822857142,14.227946714285714
1572,Slovenia,40,46.496062125,16.1653536
1573,Slovenia,33,45.83211093939394,14.319489818181818
1574,Slovenia,52,46.00285982692307,14.651396884615384
1575,Slovenia,37,46.39828218918919,14.07658945945946
1576,Slovenia,66,46.153317267972845,13.682813002802662
1577,Slovenia,46,45.86105015619495,13.890446776527648
1578,Slovenia,34,46.59793644117647,15.711741147058824
1579,Slovenia,41,46.4107787804878,15.626444853658535
